timestamp,log_level,Text Size (bits),SMC Ratio,SMC + Huffman Ratio,Huffman Ratio,Gzip Ratio,Zstd Ratio
2023-08-27 16:11:09,015,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:09,016,INFO,248,0.483871,0.032258,-0.754032,-0.806452,-0.290323
2023-08-27 16:11:09,019,INFO,400,0.560000,0.380000,-0.310000,-0.440000,-0.180000
2023-08-27 16:11:09,021,INFO,568,0.535211,0.352113,-0.265845,-0.253521,-0.028169
2023-08-27 16:11:09,022,INFO,256,0.250000,-0.562500,-0.863281,-0.781250,-0.281250
2023-08-27 16:11:09,023,INFO,192,0.416667,-0.125000,-0.812500,-1.041667,-0.375000
2023-08-27 16:11:09,024,INFO,200,0.280000,-0.560000,-0.760000,-1.000000,-0.360000
2023-08-27 16:11:09,026,INFO,328,0.463415,0.219512,-0.375000,-0.536585,-0.219512
2023-08-27 16:11:09,030,INFO,1096,0.583942,0.401460,0.008212,0.058394,0.175182
2023-08-27 16:11:09,036,INFO,1912,0.556485,0.451883,0.168933,0.242678,0.305439
2023-08-27 16:11:09,037,INFO,144,0.444444,0.055556,-1.125000,-1.388889,-0.500000
2023-08-27 16:11:09,048,INFO,2912,0.500000,0.461538,0.281937,0.321429,0.332418
2023-08-27 16:11:09,049,INFO,344,0.511628,-0.093023,-0.773256,-0.581395,-0.209302
2023-08-27 16:11:09,066,INFO,6376,0.518193,0.469260,0.368413,0.466750,0.473024
2023-08-27 16:11:09,067,INFO,304,0.500000,0.184211,-0.575658,-0.578947,-0.236842
2023-08-27 16:11:09,075,INFO,2696,0.519288,0.382789,0.199926,0.278932,0.314540
2023-08-27 16:11:09,075,INFO,24,-0.333333,-2.000000,-1.583333,-8.333333,-3.000000
2023-08-27 16:11:09,076,INFO,216,0.444444,0.000000,-1.027778,-0.925926,-0.333333
2023-08-27 16:11:09,078,INFO,512,0.531250,0.390625,-0.222656,-0.296875,-0.031250
2023-08-27 16:11:09,080,INFO,536,0.447761,-0.014925,-0.341418,-0.253731,-0.134328
2023-08-27 16:11:09,081,INFO,216,0.333333,-0.407407,-0.847222,-0.925926,-0.333333
2023-08-27 16:11:09,083,INFO,720,0.544444,0.366667,-0.173611,-0.144444,0.033333
2023-08-27 16:11:09,085,INFO,480,0.516667,0.383333,-0.260417,-0.300000,-0.150000
2023-08-27 16:11:09,087,INFO,456,0.456140,0.052632,-0.552632,-0.438596,-0.157895
2023-08-27 16:11:09,088,INFO,176,0.272727,-0.636364,-0.823864,-1.136364,-0.409091
2023-08-27 16:11:09,089,INFO,384,0.479167,0.000000,-0.466146,-0.479167,-0.187500
2023-08-27 16:11:09,091,INFO,328,0.512195,0.341463,-0.570122,-0.609756,-0.219512
